"species"
"abrocoma bennettii"
"abrothrix longipilis"
"abrothrix olivaceus"
"abrothrix sanborni"
"acomys cahirinus"
"acomys dimidiatus"
"acomys johannis"
"acomys russatus"
"acomys spinosissimus"
"aethomys chrysophilus"
"aethomys hindei"
"aethomys ineptus"
"aethomys kaiseri"
"akodon azarae"
"akodon cursor"
"akodon dolores"
"akodon iniscatus"
"akodon molinae"
"akodon montensis"
"akodon paranaensis"
"akodon serrensis"
"akodon simulator"
"akodon toba"
"akodon varius"
"alexandromys fortis"
"alexandromys maximowiczii"
"alexandromys middendorffii"
"alexandromys montebelli"
"alexandromys oeconomus"
"allactaga sibirica"
"allocricetulus eversmanni"
"alticola argentatus"
"ammospermophilus nelsoni"
"apodemus agrarius"
"apodemus alpicola"
"apodemus argenteus"
"apodemus chevrieri"
"apodemus draco"
"apodemus flavicollis"
"apodemus latronum"
"apodemus mystacinus"
"apodemus pallipes"
"apodemus peninsulae"
"apodemus ponticus"
"apodemus speciosus"
"apodemus sylvaticus"
"apodemus uralensis"
"apodemus witherbyi"
"arvicanthis nairobae"
"arvicanthis neumanni"
