"species"
"arvicanthis niloticus"
"arvicola amphibius"
"arvicola sapidus"
"arvicola scherman"
"atherurus africanus"
"baiomys taylori"
"bandicota bengalensis"
"bandicota indica"
"bandicota savilei"
"beamys hindei"
"berylmys bowersii"
"bibimys chacoensis"
"callosciurus adamsi"
"callosciurus caniceps"
"callosciurus erythraeus"
"callosciurus finlaysonii"
"callosciurus notatus"
"callosciurus prevostii"
"callosciurus pygerythrus"
"callospermophilus lateralis"
"calomys callidus"
"calomys callosus"
"calomys laucha"
"calomys musculinus"
"calomys tener"
"calomys venustus"
"cannomys badius"
"castor canadensis"
"castor fiber"
"cavia aperea"
"cerradomys subflavus"
"chaetodipus baileyi"
"chaetodipus hispidus"
"chaetodipus intermedius"
"chaetodipus nelsoni"
"chaetodipus penicillatus"
"chaetodipus spinatus"
"chaetomys subspinosus"
"chelemys macronyx"
"chinchilla chinchilla"
"chinchilla lanigera"
"chionomys roberti"
"chionomys syriacus"
"clethrionomys centralis"
"clethrionomys gapperi"
"clethrionomys glareolus"
"clethrionomys rutilus"
"coendou melanurus"
"coendou mexicanus"
"coendou prehensilis"
