"species"
"coendou quichua"
"conilurus penicillatus"
"craseomys andersoni"
"craseomys regulus"
"craseomys rex"
"craseomys rufocanus"
"craseomys smithii"
"cricetomys emini"
"cricetomys gambianus"
"cricetulus barabensis"
"cricetus cricetus"
"ctenodactylus gundi"
"ctenomys talarum"
"cuniculus paca"
"cynomys gunnisoni"
"cynomys leucurus"
"cynomys ludovicianus"
"dasymys incomtus"
"dasyprocta azarae"
"dasyprocta fuliginosa"
"dasyprocta leporina"
"dasyprocta mexicana"
"dasyprocta prymnolopha"
"dasyprocta punctata"
"deltamys kempi"
"dendromus mesomelas"
"desmodillus auricularis"
"dicrostonyx groenlandicus"
"dicrostonyx richardsoni"
"dicrostonyx torquatus"
"dinaromys bogdanovi"
"diplomys labilis"
"diplothrix legata"
"dipodomys agilis"
"dipodomys californicus"
"dipodomys heermanni"
"dipodomys merriami"
"dipodomys microps"
"dipodomys nitratoides"
"dipodomys ordii"
"dipodomys panamintinus"
"dipodomys spectabilis"
"dipus sagitta"
"dolichotis patagonum"
"dryomys nitedula"
"eligmodontia morgani"
"eligmodontia typus"
"eliomys melanurus"
"eliomys munbyanus"
"eliomys quercinus"
