"species"
"marmota sibirica"
"mastacomys fuscus"
"mastomys awashensis"
"mastomys coucha"
"mastomys erythroleucus"
"mastomys huberti"
"mastomys natalensis"
"maxomys baeodon"
"maxomys ochraceiventer"
"maxomys rajah"
"maxomys surifer"
"maxomys whiteheadi"
"megadontomys nelsoni"
"megadontomys thomasi"
"melanomys caliginosus"
"melomys burtoni"
"melomys cervinipes"
"menetes berdmorei"
"meriones crassus"
"meriones hurrianae"
"meriones libycus"
"meriones meridianus"
"meriones persicus"
"meriones sacramenti"
"meriones shawi"
"meriones tamariscinus"
"meriones tristrami"
"meriones unguiculatus"
"meriones vinogradovi"
"mesembriomys gouldii"
"mesocricetus auratus"
"mesocricetus brandti"
"mesomys hispidus"
"micaelamys namaquensis"
"microcavia australis"
"micromys minutus"
"microtus agrestis"
"microtus arvalis"
"microtus breweri"
"microtus cabrerae"
"microtus californicus"
"microtus duodecimcostatus"
"microtus guentheri"
"microtus ilaeus"
"microtus longicaudus"
"microtus lusitanicus"
"microtus majori"
"microtus mexicanus"
"microtus miurus"
"microtus montanus"
